|  i   |      Bisection       |   Newton - Raphson   |        Secant        |
-----------------------------------------------------------------------------
|  1   |  3.573020090513627   |  3.596981329293860   |  3.619379925536736   |
|  2   |  3.788733808925544   |  3.596754445007600   |  3.593963157407426   |
|  3   |  3.680876949719586   |  3.596754423289572   |  3.596727286635122   |
|  4   |  3.626948520116607   |  3.596754423289571   |  3.596754455141366   |
|  5   |  3.599984305315117   |                      |  3.596754423289207   |
|  6   |  3.586502197914372   |                      |  3.596754423289571   |
|  7   |  3.593243251614745   |                      |                      |
|  8   |  3.596613778464931   |                      |                      |
|  9   |  3.598299041890024   |                      |                      |
|  10  |  3.597456410177478   |                      |                      |
|  11  |  3.597035094321205   |                      |                      |
|  12  |  3.596824436393068   |                      |                      |
|  13  |  3.596719107429000   |                      |                      |
|  14  |  3.596771771911034   |                      |                      |
|  15  |  3.596745439670017   |                      |                      |
|  16  |  3.596758605790526   |                      |                      |
|  17  |  3.596752022730271   |                      |                      |
|  18  |  3.596755314260399   |                      |                      |
|  19  |  3.596753668495335   |                      |                      |
|  20  |  3.596754491377867   |                      |                      |
|  21  |  3.596754079936601   |                      |                      |
|  22  |  3.596754285657234   |                      |                      |
|  23  |  3.596754388517550   |                      |                      |
|  24  |  3.596754439947709   |                      |                      |
|  25  |  3.596754414232629   |                      |                      |
|  26  |  3.596754427090169   |                      |                      |
|  27  |  3.596754420661399   |                      |                      |
|  28  |  3.596754423875784   |                      |                      |
|  29  |  3.596754422268591   |                      |                      |
|  30  |  3.596754423072188   |                      |                      |
|  31  |  3.596754423473986   |                      |                      |
|  32  |  3.596754423273087   |                      |                      |
