step      Walk1           Walk2           Walk3           Walk4           Walk5           Walk6           Walk7      
           x1      y1      x2      y2      x3      y3      x4      y4      x5      y5      x6      y6      x7      y7
0       0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
1       0.831  -0.556   0.194   0.981   0.111  -0.994  -0.359  -0.933   0.439  -0.898  -0.757   0.653   0.052  -0.999
2       1.628   0.048   0.772   1.797   0.069   0.005  -0.118   0.037  -0.229  -1.642   0.231   0.497  -0.510  -1.825
3       2.231  -0.750   1.754   1.605  -0.585   0.762   0.003   1.030  -0.725  -2.510  -0.292  -0.355  -0.422  -0.829
4       1.261  -0.504   2.507   2.263  -1.519   0.405   0.786   0.408  -0.580  -1.521  -0.363   0.642   0.459  -1.303
5       0.479  -1.127   3.507   2.270  -1.021  -0.462   1.326   1.250   0.077  -0.767   0.503   1.142  -0.475  -1.661
6      -0.024  -1.991   4.489   2.086  -1.427   0.452   2.270   0.919   0.876  -1.369   0.112   0.221   0.400  -1.177
7      -0.507  -1.116   4.622   1.095  -2.055  -0.326   1.832   0.020  -0.119  -1.271  -0.016   1.213   1.386  -1.343
8       0.445  -0.812   4.895   0.133  -2.089  -1.325   2.811   0.228   0.200  -2.218   0.767   1.836   1.779  -0.423
9      -0.381  -0.249   3.910   0.303  -2.631  -2.166   1.815   0.323   0.984  -2.840  -0.072   1.291   1.096   0.306
10      0.149  -1.097   3.481  -0.600  -2.663  -3.165   1.273   1.163   1.984  -2.867  -0.907   1.842   0.344  -0.354
11      0.205  -2.095   2.482  -0.561  -2.245  -2.257   1.771   2.031   2.799  -2.289  -0.824   0.845   0.728  -1.277
12     -0.262  -1.211   1.942   0.280  -2.113  -1.266   2.005   1.058   2.520  -3.249  -1.513   1.569   0.483  -0.308
13     -0.119  -2.201   1.490   1.172  -1.113  -1.277   2.444   0.160   1.538  -3.437  -2.232   0.875   0.961   0.571
14     -0.568  -3.094   1.293   0.192  -1.959  -1.810   3.114   0.902   0.758  -4.063  -3.150   0.477   0.051   0.985
15     -1.564  -3.181   0.736  -0.639  -1.813  -2.800   3.750   0.130   0.151  -3.268  -2.184   0.220  -0.949   0.957
16     -1.876  -2.231   1.461  -1.327  -0.892  -3.190   2.827  -0.257   0.489  -2.327  -2.327   1.210  -0.547   1.873
17     -2.525  -1.470   2.145  -2.057  -0.085  -2.599   1.842  -0.084   0.138  -1.391  -2.288   0.211  -0.996   2.766
18     -2.396  -0.479   1.298  -1.526  -1.085  -2.608   2.668   0.480   1.092  -1.690  -2.912   0.992  -0.200   3.371
19     -3.283  -0.018   1.244  -0.527  -0.107  -2.400   3.347  -0.254   0.821  -0.727  -2.409   0.128   0.792   3.494
20     -2.353  -0.384   0.504  -1.201   0.593  -1.686   2.478  -0.748   1.800  -0.932  -3.407   0.063  -0.172   3.231
21     -2.179   0.600  -0.432  -1.552   0.392  -0.706   1.498  -0.548   2.752  -0.626  -2.505   0.495  -0.333   2.244
22     -2.811   1.375  -1.397  -1.815  -0.588  -0.903   1.548  -1.546   3.748  -0.713  -1.722   1.117   0.537   2.737
23     -3.696   1.841  -0.972  -2.720  -1.017  -1.807   1.073  -2.426   2.875  -0.227  -2.507   1.737   1.535   2.797
24     -4.612   1.439  -1.540  -1.897  -1.788  -2.444   0.108  -2.161   2.029  -0.761  -2.505   0.737   1.478   1.799
25     -4.067   2.277  -1.208  -2.841  -1.769  -3.444   0.749  -2.929   1.546  -1.637  -1.716   0.122   2.316   2.345
26     -4.919   2.801  -1.946  -2.165  -1.351  -4.352   0.452  -3.884   1.948  -2.552  -1.738  -0.878   3.315   2.332
27     -4.418   3.666  -1.291  -1.410  -0.543  -4.942   0.923  -3.002   1.045  -2.122  -2.164  -1.783   4.152   2.881
28     -5.377   3.947  -1.511  -2.385  -0.124  -4.034   1.701  -3.630   0.340  -2.832  -2.874  -2.486   5.147   2.787
29     -5.967   4.755  -2.149  -3.155  -1.081  -4.325   1.133  -2.806  -0.070  -3.744  -2.199  -1.748   4.160   2.946
30     -6.683   5.453  -3.133  -2.979  -0.119  -4.600   0.161  -3.041  -0.311  -4.714  -1.286  -2.155   3.819   3.886
31     -7.659   5.671  -2.781  -3.915  -1.119  -4.629   0.948  -2.424  -1.310  -4.765  -1.445  -1.168   4.548   4.571
32     -7.198   6.558  -1.786  -3.822  -0.928  -3.648   1.735  -1.806  -0.367  -5.097  -0.480  -0.905   4.964   3.661
33     -8.189   6.690  -0.809  -4.036  -0.096  -4.202   2.493  -1.155  -0.707  -4.157  -1.204  -0.215   5.182   4.637
34     -8.156   7.690  -1.535  -4.723  -1.089  -4.316   1.797  -1.873  -1.299  -3.351  -0.790  -1.125   5.993   5.223
35     -8.277   6.697  -2.225  -5.448  -0.627  -3.429   1.223  -2.692  -2.089  -2.737  -1.789  -1.136   6.707   4.523
36     -9.277   6.688  -3.222  -5.520   0.358  -3.597   1.993  -3.331  -1.123  -2.996  -0.881  -0.717   5.719   4.679
37    -10.239   6.963  -2.317  -5.946  -0.639  -3.521   1.111  -2.859  -2.121  -3.064  -1.129  -1.686   6.067   3.741
38     -9.496   6.293  -2.454  -4.955  -1.504  -3.020   0.136  -2.634  -1.211  -3.479  -1.629  -0.820   6.576   4.602
39     -9.075   7.200  -3.436  -4.766  -2.439  -2.666  -0.195  -1.691  -1.683  -2.597  -2.400  -1.457   7.520   4.270
40     -8.341   7.879  -4.026  -3.958  -3.135  -1.947   0.734  -2.062  -2.052  -1.668  -1.590  -2.042   7.995   5.149
41     -7.444   8.320  -4.701  -3.221  -3.914  -1.321   0.416  -3.011  -2.297  -0.698  -0.913  -2.779   7.369   4.369
42     -6.446   8.258  -5.696  -3.119  -2.949  -1.581   0.170  -2.041  -1.903   0.221  -1.844  -3.144   8.291   4.757
43     -5.829   9.045  -6.062  -4.050  -2.035  -1.988  -0.295  -1.156  -2.213   1.171  -2.568  -2.454   9.280   4.909
44     -6.549   9.739  -5.177  -3.585  -2.806  -1.351   0.688  -0.968  -2.944   0.488  -1.570  -2.528   8.534   5.575
45     -6.015  10.585  -4.249  -3.211  -1.885  -1.741  -0.299  -0.806  -3.072  -0.503  -0.938  -3.303   8.893   4.642
46     -5.346  11.327  -4.386  -2.221  -1.082  -1.145  -0.448   0.183  -2.981  -1.499  -0.810  -4.294   8.201   5.364
47     -4.728  12.114  -5.176  -2.833  -2.051  -0.898  -1.197   0.845  -2.330  -0.741  -1.808  -4.360   7.864   4.422
