   sqrt(N)     R_rms
     1.000     1.000
     3.317     3.235
     4.583     4.491
     5.568     5.467
     6.403     5.918
     7.141     7.474
     7.810     7.978
     8.426     8.862
     9.000     9.217
     9.539     9.988
    10.050    10.347
    10.536    10.596
    11.000     9.972
    11.446    11.854
    11.874    11.591
    12.288    12.646
    12.689    13.228
    13.077    12.923
    13.454    13.488
    13.820    13.254
    14.177    13.802
    14.526    15.171
    14.866    15.110
    15.199    13.635
    15.524    16.148
    15.843    13.310
    16.155    16.829
    16.462    16.160
    16.763    15.505
    17.059    17.093
    17.349    16.589
    17.635    16.958
    17.916    19.673
    18.193    19.346
    18.466    20.030
    18.735    18.952
    19.000    18.597
    19.261    16.946
    19.519    20.388
    19.774    19.757
    20.025    19.776
    20.273    20.326
    20.518    20.680
    20.761    19.102
    21.000    20.954
    21.237    23.233
    21.471    19.831
    21.703    21.036
    21.932    22.225
    22.159    21.330
    22.383    24.515
    22.605    22.455
    22.825    23.004
    23.043    22.890
    23.259    21.252
    23.473    24.301
    23.685    25.076
    23.896    25.889
    24.104    23.784
    24.310    24.068
    24.515    24.358
    24.718    23.882
    24.920    24.881
    25.120    25.600
    25.318    26.087
    25.515    25.867
    25.710    27.584
    25.904    27.022
    26.096    23.979
    26.287    26.888
    26.476    27.131
    26.665    25.929
    26.851    25.688
    27.037    26.884
    27.221    28.410
    27.404    28.855
    27.586    26.750
    27.767    27.879
    27.946    27.200
    28.125    26.912
    28.302    27.049
    28.478    28.444
    28.653    28.851
    28.827    27.267
    29.000    28.006
    29.172    29.010
    29.343    26.844
    29.513    28.651
    29.682    34.005
    29.850    30.958
    30.017    31.382
    30.183    30.408
    30.348    31.564
    30.512    29.190
    30.676    31.076
    30.838    30.875
    31.000    31.206
    31.161    30.438
    31.321    30.812
    31.480    31.011
